player_name,team_name,match_no,goals,assists,xg,BCM,dribbles,Chances_Created
Aaron Hickey,Scotland,7,0,0,0.0,0,0,2
Aaron Wan-Bissaka,DR Congo,21,0,0,0.0,0,1,0
Aaron Wan-Bissaka,DR Congo,48,0,0,0.0,0,0,0
Aaron Wan-Bissaka,DR Congo,70,0,0,0.0,0,1,3
Abbosbek Fayzullaev,Uzbekistan,24,1,0,0.98,0,0,0
Abbosbek Fayzullaev,Uzbekistan,45,0,0,0.02,0,0,1
Abbosbek Fayzullaev,Uzbekistan,70,0,0,0.05,0,0,0
Abdallah Nasib,Jordan,20,0,0,0.0,0,0,0
Abdallah Nasib,Jordan,44,0,0,0.0,0,0,0
Abdallah Nasib,Jordan,72,0,0,0.0,0,0,0
Abdelaziz Hatem,Qatar,49,0,0,0.0,0,0,1
Abdelmouhib Chamakh,Tunisia,12,0,0,0.0,0,0,0
Abdoulaye Seck,Senegal,62,0,1,0.05,0,0,1
Abdukodir Khusanov,Uzbekistan,24,0,0,0.0,0,0,0
Abdukodir Khusanov,Uzbekistan,45,0,0,0.0,0,1,0
Abdukodir Khusanov,Uzbekistan,70,0,0,0.0,0,0,0
Abdul Fatawu Issahaku,Ghana,23,0,0,0.02,0,1,1
Abdul Fatawu Issahaku,Ghana,46,0,0,0.0,0,1,0
Abdul Fatawu Issahaku,Ghana,67,0,0,0.04,0,2,1
Abdulelah Al-Amri,Saudi Arabia,15,1,0,0.49,0,0,0
Abdulelah Al-Amri,Saudi Arabia,37,0,0,0.08,0,0,0
Abdulelah Al-Amri,Saudi Arabia,63,0,0,0.01,0,0,1
Abdulkerim Bardakci,Türkiye,8,0,0,0.03,0,1,0
Abdulkerim Bardakci,Türkiye,32,0,0,0.02,0,1,2
Abdulkerim Bardakci,Türkiye,60,0,0,0.06,0,1,0
Abdulla Abdullaev,Uzbekistan,24,0,0,0.0,0,0,0
Abdulla Abdullaev,Uzbekistan,45,0,0,0.0,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,15,0,0,0.0,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,37,0,0,0.02,0,1,0
Abdullah Al-Hamdan,Saudi Arabia,63,0,0,0.14,0,0,0
Abdullah Al-Khaibari,Saudi Arabia,15,0,0,0.03,0,1,0
Abdullah Al-Khaibari,Saudi Arabia,37,0,0,0.0,0,1,0
Abdullah Al-Khaibari,Saudi Arabia,63,0,0,0.0,0,0,0
Abduvokhid Nematov,Uzbekistan,45,0,0,0.0,0,0,0
Abduvokhid Nematov,Uzbekistan,70,0,0,0.0,0,0,0
Achraf Hakimi,Morocco,6,0,0,0.18,0,0,3
Achraf Hakimi,Morocco,30,0,0,0.31,0,1,1
Achraf Hakimi,Morocco,51,1,1,1.34,0,5,7
Adam Hlozek,Czechia,2,0,0,0.18,0,0,0
Adam Hlozek,Czechia,25,0,0,0.04,0,0,0
Adam Hlozek,Czechia,53,0,0,0.0,0,1,2
Adil Boulbina,Algeria,19,0,0,0.0,0,0,0
Adrien Rabiot,France,17,0,1,0.0,0,0,2
Adrien Rabiot,France,42,0,0,0.57,1,0,0
Agustín Canobbio,Uruguay,15,0,0,0.02,0,1,0
Agustín Canobbio,Uruguay,39,1,0,0.62,0,0,2
Agustín Canobbio,Uruguay,64,0,0,0.07,0,0,0
Ahmadou Bamba Dieng,Senegal,17,0,0,0.0,0,0,0
Ahmed Al-Ganehi,Qatar,49,0,0,0.04,0,1,1
Ahmed Alaaeldin,Qatar,5,0,0,0.11,0,0,0
Ahmed Alaaeldin,Qatar,49,0,0,0.0,0,0,0
Ahmed Basil,Iraq,42,0,0,0.0,0,0,0
Ahmed Basil,Iraq,62,0,0,0.0,0,0,0
Ahmed Fathi,Qatar,5,0,0,0.0,0,0,1
Ahmed Fathi,Qatar,27,0,0,0.0,0,0,0
Ahmed Fathi,Qatar,49,0,0,0.0,0,0,0
Ahmed Fatouh,Egypt,14,0,0,0.0,0,0,1
Ahmed Fatouh,Egypt,40,0,0,0.06,0,1,1
Ahmed Fatouh,Egypt,65,0,0,0.0,0,2,2
Ahmed Hasan Maknazi,Iraq,62,0,0,0.0,0,2,0
Ahmed Nadhir Benbouali,Algeria,44,1,0,0.12,0,1,0
Ahmed Qasem,Iraq,18,0,0,0.0,0,0,0
Ahmed Qasem,Iraq,42,0,0,0.0,0,1,1
Ahmed Qasem,Iraq,62,0,0,0.0,0,0,0
Aiden O'Neill,Australia,8,0,0,0.0,0,1,1
Aiden O'Neill,Australia,29,0,0,0.0,0,1,0
Aiden O'Neill,Australia,59,0,0,0.02,0,1,2
Aimar Sher,Iraq,42,0,0,0.0,0,0,0
Aïssa Mandi,Algeria,19,0,0,0.0,0,0,1
Aïssa Mandi,Algeria,44,0,0,0.0,0,0,0
Aïssa Mandi,Algeria,71,0,0,0.0,0,0,1
Ajdin Hrustic,Australia,59,0,0,0.04,0,0,2
Akam Hashem,Iraq,18,0,0,0.03,0,3,0
Akam Hashem,Iraq,42,0,0,0.0,0,1,0
Akam Hashem,Iraq,62,0,0,0.0,0,0,0
Akmal Mozgovoy,Uzbekistan,24,0,0,0.07,0,1,0
Akmal Mozgovoy,Uzbekistan,45,0,0,0.0,0,0,0
Akmal Mozgovoy,Uzbekistan,70,0,1,0.0,0,0,1
Akram Afif,Qatar,5,0,0,0.0,0,0,2
Akram Afif,Qatar,27,0,0,0.0,0,0,0
Akram Afif,Qatar,49,0,0,0.09,0,0,2
Ala'a Al-Hejji,Saudi Arabia,15,0,0,0.0,0,0,0
Ala'a Al-Hejji,Saudi Arabia,37,0,0,0.0,0,0,0
Alan Franco,Ecuador,11,0,0,0.0,0,0,1
Alan Franco,Ecuador,35,0,0,0.0,0,0,0
Alan Franco,Ecuador,56,0,0,0.0,0,0,0
Alan Minda,Ecuador,11,0,0,0.37,1,0,0
Alberto Quintero,Panama,68,0,0,0.0,0,0,0
Alejandro Romero,Paraguay,4,0,0,0.0,0,0,0
Aleksandar Pavlovic,Germany,9,0,0,0.4,0,1,1
Aleksandar Pavlovic,Germany,34,0,0,0.0,0,0,1
Aleksandar Pavlovic,Germany,56,0,0,0.0,0,1,0
Alessandro Circati,Australia,8,0,0,0.51,0,1,0
Alessandro Circati,Australia,29,0,0,0.03,0,1,0
Alessandro Circati,Australia,59,0,0,0.0,0,1,0
Alex Arce,Paraguay,4,0,0,0.0,0,0,1
Alex Arce,Paraguay,59,0,0,0.0,0,0,1
Alex Baena,Spain,37,0,0,0.05,0,0,2
Alex Baena,Spain,64,1,0,0.14,0,0,1
Alex Sandro,Brazil,52,0,0,0.0,0,0,0
Alex Zendejas,USA,60,0,0,0.02,0,0,0
Alexander Bernhardsson,Sweden,12,0,0,0.0,0,1,0
Alexander Bernhardsson,Sweden,33,0,0,0.0,0,0,1
Alexander Bernhardsson,Sweden,57,0,0,0.04,0,1,0
Alexander Freeman,USA,4,0,1,0.0,0,2,1
Alexander Freeman,USA,29,1,0,0.34,0,2,1
Alexander Freeman,USA,60,0,0,0.0,0,0,1
Alexander Isak,Sweden,12,1,2,0.32,1,0,2
Alexander Isak,Sweden,33,0,1,0.02,0,1,4
Alexander Isak,Sweden,57,0,0,0.16,0,0,1
Alexander Prass,Austria,41,0,0,0.0,0,0,0
Alexander Schlager,Austria,20,0,0,0.0,0,0,0
Alexander Schlager,Austria,41,0,0,0.0,0,0,0
Alexander Schlager,Austria,71,0,0,0.0,0,0,0
Alexander Sørloth,Norway,18,0,0,0.19,0,0,1
Alexander Sørloth,Norway,43,0,0,0.0,0,0,0
Alexandr Sojka,Czechia,2,0,0,0.0,0,1,1
Alexandr Sojka,Czechia,25,0,1,0.0,0,1,1
Alexandr Sojka,Czechia,53,0,0,0.0,0,0,1
Alexandro Maidana,Paraguay,32,0,0,0.0,0,0,0
Alexandro Maidana,Paraguay,59,0,0,0.0,0,0,0
Alexis Mac Allister,Argentina,19,0,0,0.08,0,0,1
Alexis Mac Allister,Argentina,41,0,0,0.0,0,0,0
Alexis Mac Allister,Argentina,72,0,0,0.0,0,0,0
Alexis Saelemaekers,Belgium,38,0,0,0.08,0,2,0
Alexis Saelemaekers,Belgium,66,1,0,0.1,0,0,0
Alexis Vega,Mexico,1,0,0,0.0,0,0,0
Alhashmi Mohialdin,Qatar,27,0,0,0.0,0,0,0
Ali Abdi,Tunisia,12,0,0,0.0,0,1,0
Ali Abdi,Tunisia,36,0,0,0.0,0,1,0
Ali Abdi,Tunisia,58,0,0,0.06,0,0,0
Ali Ahmed,Canada,3,0,0,0.0,0,1,0
Ali Ahmed,Canada,27,0,0,0.16,0,0,2
Ali Ahmed,Canada,50,0,0,0.07,0,0,0
Ali Al Azaizah,Jordan,20,0,0,0.02,0,1,0
Ali Al Azaizah,Jordan,44,0,0,0.0,0,0,0
Ali Al Azaizah,Jordan,72,0,0,0.05,0,1,0
Ali Al-Hamadi,Iraq,18,0,0,0.23,0,1,1
Ali Al-Hamadi,Iraq,42,0,0,0.54,1,1,0
Ali Al-Hamadi,Iraq,62,0,0,0.0,0,0,1
Ali Alipour,Iran,16,0,0,0.06,0,0,0
Ali Jasim,Iraq,18,0,0,0.0,0,2,1
Ali Jasim,Iraq,62,0,0,0.1,0,0,0
Ali Lajami,Saudi Arabia,15,0,0,0.0,0,0,0
Ali Lajami,Saudi Arabia,37,0,0,0.0,0,0,0
Ali Lajami,Saudi Arabia,63,0,0,0.0,0,0,0
Ali Nemati,Iran,16,0,0,0.08,0,0,2
Ali Nemati,Iran,38,0,0,0.0,0,0,0
Ali Nemati,Iran,65,0,0,0.0,0,0,0
Ali Olwan,Jordan,20,1,0,0.25,0,3,0
Ali Olwan,Jordan,44,0,0,0.03,0,2,2
Ali Olwan,Jordan,72,0,0,0.0,0,1,2
Ali Yousif,Iraq,62,0,0,0.0,0,0,0
Alireza Beiranvand,Iran,16,0,0,0.0,0,1,0
Alireza Beiranvand,Iran,38,0,0,0.0,0,1,0
Alireza Beiranvand,Iran,65,0,0,0.0,0,1,0
Alireza Jahanbakhsh,Iran,38,0,0,0.08,0,1,0
Alireza Jahanbakhsh,Iran,65,0,0,0.0,0,0,1
Alisson,Brazil,6,0,0,0.0,0,0,0
Alisson,Brazil,31,0,0,0.0,0,1,0
Alisson,Brazil,52,0,0,0.0,0,0,0
Alistair Johnston,Canada,3,0,0,0.06,0,1,1
Alistair Johnston,Canada,27,0,0,0.05,0,1,6
Alistair Johnston,Canada,50,0,0,0.13,1,0,2
Almoez Ali,Qatar,49,0,0,0.07,0,0,0
Alvaro Fidalgo,Mexico,1,0,0,0.0,0,0,1
Alvaro Fidalgo,Mexico,53,1,0,0.21,0,0,0
Amad Diallo,Ivory Coast,11,1,0,0.19,0,6,1
Amad Diallo,Ivory Coast,34,0,0,0.3,1,0,2
Amad Diallo,Ivory Coast,55,0,0,0.37,0,1,0
Amadou Onana,Belgium,14,0,0,0.0,0,0,0
Amadou Onana,Belgium,66,0,0,0.05,0,0,0
Amar Dedic,Bosnia and Herzegovina,3,0,0,0.0,0,0,0
Amar Dedic,Bosnia and Herzegovina,26,0,0,0.03,0,3,0
Amar Memic,Bosnia and Herzegovina,3,0,0,0.05,0,0,0
Amar Memic,Bosnia and Herzegovina,26,0,0,0.02,0,1,0
Amar Memic,Bosnia and Herzegovina,49,0,0,0.0,0,0,0
Amer Jamous,Jordan,72,0,0,0.0,0,0,0
Amine Ben Hmida,Tunisia,12,0,0,0.0,0,0,0
Amine Ben Hmida,Tunisia,36,0,0,0.0,0,0,0
Amine Ben Hmida,Tunisia,58,0,0,0.0,0,0,0
Amine Gouiri,Algeria,19,0,0,0.0,0,0,0
Amine Gouiri,Algeria,44,1,0,0.49,0,1,1
Amine Gouiri,Algeria,71,0,0,0.0,0,0,0
Amir Al-Ammari,Iraq,18,0,1,0.0,0,0,3
Amir Al-Ammari,Iraq,42,0,0,0.0,0,1,0
Amir Al-Ammari,Iraq,62,0,0,0.0,0,0,1
Amir Hadziahmetovic,Bosnia and Herzegovina,26,0,0,0.0,0,0,0
Amir Murillo,Panama,23,0,0,0.0,0,1,3
Amir Murillo,Panama,47,0,0,0.13,0,2,1
Amir Murillo,Panama,68,0,0,0.16,0,2,2
Amirhossein Hosseinzadeh,Iran,16,0,0,0.0,0,0,1
Amirhossein Hosseinzadeh,Iran,38,0,0,0.05,0,0,0
Anass Salah-Eddine,Morocco,6,0,0,0.0,0,0,0
Anass Salah-Eddine,Morocco,51,0,0,0.0,0,0,1
Andreas Schjelderup,Norway,18,0,0,0.0,0,0,1
Andreas Schjelderup,Norway,43,0,0,0.0,0,1,1
Andreas Schjelderup,Norway,61,0,1,0.0,0,1,1
Andrej Kramarić,Croatia,22,0,0,0.01,0,0,0
Andrej Kramarić,Croatia,47,0,0,0.0,0,0,0
Andrés Andrade,Panama,23,0,0,0.0,0,0,0
Andrés Andrade,Panama,47,0,0,0.0,0,1,0
Andrés Andrade,Panama,68,0,0,0.0,0,0,0
Andres Cubas,Paraguay,4,0,0,0.0,0,0,0
Andres Cubas,Paraguay,32,0,0,0.0,0,0,0
Andres Cubas,Paraguay,59,0,0,0.02,0,1,1
Andrés Gómez,Colombia,24,0,0,0.0,0,0,0
Andy Robertson,Scotland,7,0,0,0.0,0,1,2
Andy Robertson,Scotland,30,0,0,0.0,0,0,1
Andy Robertson,Scotland,52,0,0,0.0,0,0,0
Ange-Yoan Bonny,Ivory Coast,11,0,0,0.0,0,1,0
Ange-Yoan Bonny,Ivory Coast,34,0,0,0.05,0,0,0
Ange-Yoan Bonny,Ivory Coast,55,0,0,0.0,0,0,0
Angelo Preciado,Ecuador,11,0,0,0.0,0,0,0
Angelo Preciado,Ecuador,35,0,0,0.0,0,1,0
Angelo Preciado,Ecuador,56,0,0,0.0,0,0,0
Angelo Stiller,Germany,56,0,0,0.0,0,0,0
Angus Gunn,Scotland,7,0,0,0.0,0,0,0
Angus Gunn,Scotland,30,0,0,0.0,0,0,0
Angus Gunn,Scotland,52,0,0,0.0,0,0,0
Aníbal Godoy,Panama,23,0,0,0.0,0,0,0
Anis Ben Slimane,Tunisia,12,0,0,0.0,0,0,1
Anis Ben Slimane,Tunisia,36,0,0,0.0,0,0,0
Anis Ben Slimane,Tunisia,58,0,0,0.13,1,0,1
Anis Hadj Moussa,Algeria,19,0,0,0.04,0,1,1
Anis Hadj Moussa,Algeria,44,0,0,0.11,0,1,2
Ante Budimir,Croatia,47,1,0,0.8,0,1,0
Ante Budimir,Croatia,67,0,0,0.0,0,0,0
Anthony Elanga,Sweden,12,0,0,0.0,0,0,0
Anthony Elanga,Sweden,33,1,0,0.3,0,1,0
Anthony Elanga,Sweden,57,1,0,0.08,0,1,0
Anthony Gordon,England,22,0,0,0.27,1,0,0
Anthony Gordon,England,46,0,0,0.03,0,2,2
Antoine Semenyo,Ghana,23,0,0,0.11,0,0,1
Antoine Semenyo,Ghana,46,0,0,0.0,0,1,0
Antoine Semenyo,Ghana,67,0,0,0.02,1,1,0
Antonee Robinson,USA,4,0,0,0.0,0,2,1
Antonee Robinson,USA,29,0,0,0.0,0,3,1
Antonio Nusa,Norway,18,0,0,0.0,0,2,0
Antonio Nusa,Norway,43,0,0,0.09,0,0,1
Antonio Nusa,Norway,61,0,0,0.0,0,1,0
Antonio Rudiger,Germany,9,0,0,0.0,0,0,0
Antonio Rudiger,Germany,34,0,0,0.02,0,0,0
Antonio Rudiger,Germany,56,0,0,0.0,0,0,0
Antonio Sanabria,Paraguay,4,0,0,0.0,0,0,1
Ao Tanaka,Japan,36,0,0,0.03,0,0,0
Ao Tanaka,Japan,57,0,0,0.05,0,3,1
Arda Guler,Türkiye,8,0,0,0.26,0,1,2
Arda Guler,Türkiye,32,0,0,0.25,0,0,3
Arda Guler,Türkiye,60,1,0,0.53,0,3,0
Ardon Jashari,Switzerland,5,0,0,0.01,0,0,0
Aria Yousefi,Iran,16,0,0,0.05,0,0,1
Arjan Malic,Bosnia and Herzegovina,49,0,0,0.0,0,0,0
Armando Gonzalez,Mexico,1,0,0,0.0,0,0,0
Armando Obispo,Curaçao,9,0,0,0.0,0,0,0
Armando Obispo,Curaçao,35,0,0,0.0,0,1,0
Armando Obispo,Curaçao,55,0,0,0.0,0,0,0
Armin Gigovic,Bosnia and Herzegovina,3,0,0,0.0,0,1,0
Arthur Masuaku,DR Congo,21,0,1,0.0,0,1,2
Arthur Masuaku,DR Congo,48,0,0,0.0,0,0,1
Arthur Masuaku,DR Congo,70,0,0,0.0,0,0,2
Arthur Theate,Belgium,38,0,0,0.0,0,0,1
Arthur Theate,Belgium,66,0,0,0.19,0,0,0
Assane Diao,Senegal,62,0,0,0.0,0,1,0
Assim Madibo,Qatar,5,0,0,0.0,0,0,0
Assim Madibo,Qatar,27,0,0,0.0,0,0,0
Aubrey Modiba,South Africa,1,0,0,0.02,0,0,0
Aubrey Modiba,South Africa,25,0,0,0.13,0,0,2
Aubrey Modiba,South Africa,54,0,0,0.01,0,0,1
Aurélien Tchouaméni,France,17,0,0,0.0,0,0,0
Aurélien Tchouaméni,France,61,0,1,0.04,0,1,2
Auston Trusty,USA,29,0,0,0.0,0,0,0
Auston Trusty,USA,60,1,0,0.3,1,0,0
Axel Tuanzebe,DR Congo,21,0,0,0.0,0,0,0
Axel Tuanzebe,DR Congo,48,0,0,0.0,0,0,0
Axel Tuanzebe,DR Congo,70,0,0,0.0,0,0,0
Ayase Ueda,Japan,10,0,0,0.1,0,1,1
Ayase Ueda,Japan,36,2,1,0.54,1,1,2
Ayase Ueda,Japan,57,0,0,0.08,0,0,0
Aymen Dahmen,Tunisia,36,0,0,0.0,0,0,0
Aymen Dahmen,Tunisia,58,0,0,0.0,0,0,0
Aymen Hussein,Iraq,18,1,0,0.2,0,0,1
Aymen Hussein,Iraq,42,0,0,0.0,0,0,0
Aymeric Laporte,Spain,13,0,0,0.07,0,0,0
Aymeric Laporte,Spain,37,0,1,0.0,0,0,2
Aymeric Laporte,Spain,64,0,0,0.0,0,0,1
Ayoub Al Oui,Qatar,5,0,0,0.0,0,0,0
Ayoub Al Oui,Qatar,27,0,0,0.0,0,0,0
Ayoub El Kaabi,Morocco,51,0,0,0.17,0,1,0
Ayoube Amaimouni Echghouyab,Morocco,6,0,0,0.14,1,0,0
Ayoube Amaimouni Echghouyab,Morocco,30,0,0,0.09,0,1,0
Ayumu Seko,Japan,36,0,0,0.0,0,0,1
Ayumu Seko,Japan,57,0,0,0.0,0,0,0
Ayyoub Bouaddi,Morocco,6,0,0,0.0,0,3,0
Ayyoub Bouaddi,Morocco,30,0,0,0.01,0,0,0
Azarias Londoño,Panama,23,0,0,0.0,0,0,2
Azarias Londoño,Panama,47,0,0,0.0,0,2,0
Azarias Londoño,Panama,68,0,0,0.02,0,0,0
Aziz Behich,Australia,8,0,0,0.0,0,0,0
Aziz Behich,Australia,59,0,0,0.0,0,1,0
Azizbek Amanov,Uzbekistan,24,0,0,0.02,0,0,1
Azizjon Ganiev,Uzbekistan,45,0,0,0.01,0,1,0
Azizjon Ganiev,Uzbekistan,70,0,0,0.0,0,0,0
Azzedine Ounahi,Morocco,6,0,0,0.0,0,4,2
Azzedine Ounahi,Morocco,30,0,0,0.0,0,0,2
Azzedine Ounahi,Morocco,51,0,0,0.01,0,0,0
Baris Alper Yilmaz,Türkiye,8,0,0,0.0,0,0,0
Baris Alper Yilmaz,Türkiye,32,0,0,0.02,0,3,1
Baris Alper Yilmaz,Türkiye,60,1,1,0.88,1,0,2
Bart Verbruggen,Netherlands,10,0,0,0.0,0,0,0
Bart Verbruggen,Netherlands,33,0,0,0.0,0,0,0
Bart Verbruggen,Netherlands,58,0,0,0.0,0,0,0
Bazoumana Toure,Ivory Coast,11,0,0,0.0,0,0,0
Bazoumana Toure,Ivory Coast,55,0,0,0.0,0,1,0
Bekhruz Karimov,Uzbekistan,24,0,0,0.03,0,2,1
Bekhruz Karimov,Uzbekistan,45,0,0,0.0,0,4,1
Ben Gannon-Doak,Scotland,7,0,0,0.06,0,2,2
Ben Gannon-Doak,Scotland,30,0,0,0.0,0,2,0
Ben Gannon-Doak,Scotland,52,0,0,0.11,0,0,0
Benjamin Asare,Ghana,23,0,0,0.0,0,0,0
Benjamin Asare,Ghana,46,0,0,0.0,0,0,0
Benjamin Asare,Ghana,67,0,0,0.0,0,0,0
Benjamin Nygren,Sweden,12,0,0,0.0,0,2,1
Benjamin Nygren,Sweden,33,0,0,0.05,0,0,0
Benjamin Nygren,Sweden,57,0,0,0.0,0,0,1
Benjamin Old,New Zealand,16,0,0,0.0,0,0,0
Benjamin Old,New Zealand,40,0,0,0.0,0,0,0
Benjamin Old,New Zealand,66,0,0,0.0,0,1,0
Benjamin Tahirovic,Bosnia and Herzegovina,3,0,0,0.02,0,0,0
Benjamin Tahirovic,Bosnia and Herzegovina,26,0,0,0.0,0,0,0
Benjamin Tahirovic,Bosnia and Herzegovina,49,0,0,0.0,0,0,0
Bernardo Silva,Portugal,21,0,0,0.0,0,0,0
Bernardo Silva,Portugal,45,0,0,0.0,0,0,0
Besfort Zeneli,Sweden,33,0,0,0.01,0,0,0
Bilal El Khannouss,Morocco,6,0,0,0.02,0,2,2
Bilal El Khannouss,Morocco,30,0,0,0.18,1,0,1
Bilal El Khannouss,Morocco,51,0,0,0.09,0,5,3
Bono,Morocco,6,0,0,0.0,0,0,0
Bono,Morocco,30,0,0,0.0,0,0,0
Bono,Morocco,51,0,0,0.0,0,0,0
Boualem Khoukhi,Qatar,5,0,0,0.0,0,0,0
Boualem Khoukhi,Qatar,27,0,0,0.04,0,0,0
Boualem Khoukhi,Qatar,49,0,0,0.02,0,0,0
Bradley Barcola,France,17,1,0,0.43,0,1,0
Bradley Barcola,France,42,0,0,0.02,0,2,0
Bradley Barcola,France,61,0,1,0.0,0,0,2
Brahim Diaz,Morocco,6,0,1,0.1,0,1,2
Brahim Diaz,Morocco,30,0,1,0.04,0,3,3
Brahim Diaz,Morocco,51,0,0,0.23,1,1,1
Brandley Kuwas,Curaçao,55,0,0,0.0,0,0,0
Brandon Mechele,Belgium,14,0,0,0.33,1,0,0
Brandon Mechele,Belgium,38,0,0,0.07,0,0,0
Brandon Mechele,Belgium,66,0,0,0.07,0,1,0
Brandon Thomas-Asante,Ghana,23,0,0,0.06,0,1,0
Brandon Thomas-Asante,Ghana,67,0,0,0.0,0,0,0
Breel Embolo,Switzerland,5,1,0,1.14,1,1,5
Breel Embolo,Switzerland,26,0,1,0.15,0,0,2
Breel Embolo,Switzerland,50,0,1,0.67,1,2,1
Brenden Aaronson,USA,60,0,0,0.54,1,0,2
Brian Brobbey,Netherlands,10,0,0,0.0,0,0,0
Brian Brobbey,Netherlands,33,2,0,1.29,0,0,2
Brian Brobbey,Netherlands,58,1,0,0.54,0,0,3
Brian Cipenga,DR Congo,70,0,0,0.08,0,6,0
Brian Gutierrez,Mexico,1,0,0,0.18,0,0,3
Brian Gutierrez,Mexico,28,0,0,0.02,0,0,1
Brian Rodríguez,Uruguay,15,0,0,0.04,0,0,1
Brian Rodríguez,Uruguay,39,0,0,0.07,0,1,1
Brian Rodríguez,Uruguay,64,0,0,0.0,0,1,0
Bruno Fernandes,Portugal,21,0,0,0.07,0,0,1
Bruno Fernandes,Portugal,45,0,1,0.12,0,1,2
Bruno Fernandes,Portugal,69,0,0,0.3,1,0,1
Bruno Guimaraes,Brazil,6,0,1,0.01,0,1,1
Bruno Guimaraes,Brazil,31,0,0,0.0,0,0,1
Bruno Guimaraes,Brazil,52,0,2,0.03,0,1,3
