match_no,team,possession,xg,shots,on_target,BCM,yellow_c,red_c,fouls
1,Mexico,60,1.41,16,4,0,1,1,12
1,South Africa,40,0.07,3,2,0,2,2,11
2,South Korea,62,2.3,15,6,2,1,0,9
2,Czechia,38,0.83,7,4,0,0,0,16
3,Canada,61,1.23,13,4,2,2,0,10
3,Bosnia and Herzegovina,39,0.96,8,3,1,3,0,20
4,USA,65,1.42,16,6,2,1,0,13
4,Paraguay,35,0.54,9,1,0,5,0,17
5,Qatar,32,0.6,6,3,1,2,0,12
5,Switzerland,68,3.2,26,7,5,1,0,11
6,Brazil,51,1.26,12,5,1,2,0,16
6,Morocco,49,1.37,14,3,1,0,0,14
7,Haiti,54,1.05,15,2,1,1,0,23
7,Scotland,46,1.05,9,2,2,3,0,21
8,Australia,28,1.18,9,4,0,0,0,12
8,Türkiye,72,1.36,30,8,2,1,0,4
9,Germany,65,4.22,26,12,2,0,0,18
9,Curaçao,35,0.41,8,2,0,0,0,11
10,Netherlands,60,0.78,10,6,0,3,0,7
10,Japan,40,0.59,10,3,0,0,0,7
11,Ivory Coast,48,1.52,15,4,2,3,0,10
11,Ecuador,52,1.01,12,1,1,1,0,13
12,Sweden,49,1.33,13,7,2,0,0,10
12,Tunisia,51,0.28,6,2,0,1,0,8
13,Spain,74,2.1,27,7,2,1,0,10
13,Cape Verde,26,0.2,6,1,1,1,0,1
14,Belgium,54,1.35,15,3,2,2,0,15
14,Egypt,46,1.08,14,3,2,2,0,15
15,Saudi Arabia,33,0.66,7,3,0,1,0,11
15,Uruguay,67,1.72,27,10,1,0,0,6
16,Iran,48,1.5,17,4,0,1,0,10
16,New Zealand,52,1.24,14,8,0,0,0,8
17,France,53,1.79,11,8,2,0,0,5
17,Senegal,47,0.53,6,2,2,0,0,9
18,Iraq,39,0.8,11,1,1,1,0,12
18,Norway,61,2.52,12,5,2,0,0,13
19,Argentina,48,1.26,10,6,0,0,0,13
19,Algeria,52,0.32,7,0,0,0,0,8
20,Austria,63,1.69,11,4,3,1,0,12
20,Jordan,37,0.46,11,4,0,0,0,7
21,Portugal,75,0.65,7,1,0,3,0,9
21,DR Congo,25,0.87,8,2,0,1,0,10
22,England,52,3.2,22,11,5,0,0,10
22,Croatia,48,0.7,10,5,1,0,0,12
23,Ghana,38,1.31,8,2,0,1,0,9
23,Panama,62,0.73,11,4,2,2,0,11
24,Uzbekistan,39,1.16,8,1,0,1,0,14
24,Colombia,61,1.61,15,4,2,1,0,11
25,Czechia,38,1.02,14,3,2,1,0,12
25,South Africa,62,1.38,17,4,0,2,0,10
26,Switzerland,62,2.06,13,7,1,1,0,7
26,Bosnia and Herzegovina,38,0.23,5,3,0,2,1,18
27,Canada,79,4.6,32,10,3,1,0,9
27,Qatar,21,0.22,2,0,0,1,2,10
28,Mexico,42,0.53,8,4,1,0,0,9
28,South Korea,58,0.91,9,2,3,2,0,7
29,USA,62,1.08,10,2,1,3,0,12
29,Australia,38,0.35,5,2,0,4,0,16
30,Scotland,41,0.51,6,0,1,1,0,11
30,Morocco,59,0.99,12,2,3,1,0,8
31,Brazil,57,1.75,8,5,2,1,0,13
31,Haiti,43,0.23,7,3,0,3,0,14
32,Türkiye,78,2.17,32,5,5,1,0,14
32,Paraguay,22,0.32,7,2,0,1,1,15
33,Netherlands,51,2.61,10,7,0,0,0,9
33,Sweden,49,1.01,16,8,1,3,0,12
34,Germany,60,1.89,16,7,3,0,0,5
34,Ivory Coast,40,1.22,9,2,1,0,0,7
35,Ecuador,75,2.84,27,15,6,1,0,7
35,Curaçao,25,0.5,10,3,0,5,0,10
36,Tunisia,38,0.05,2,0,0,0,0,8
36,Japan,62,2.13,11,5,2,0,0,15
37,Spain,67,2.3,22,8,2,0,0,10
37,Saudi Arabia,33,0.14,3,1,0,2,0,2
38,Belgium,70,1.79,23,7,1,1,1,7
38,Iran,30,0.62,7,3,1,1,0,9
39,Uruguay,65,2.32,17,2,0,2,0,11
39,Cape Verde,35,0.88,12,4,0,2,0,4
40,New Zealand,44,1.24,11,5,2,2,0,14
40,Egypt,56,1.87,19,7,2,1,0,8
41,Argentina,54,2.36,12,5,3,2,0,13
41,Austria,46,0.53,6,1,1,2,0,13
42,France,56,2.67,19,5,3,0,0,8
42,Iraq,44,0.63,4,0,1,1,0,4
43,Norway,42,2.2,13,7,3,0,0,13
43,Senegal,58,1.72,16,4,1,0,0,5
44,Jordan,28,0.63,8,4,1,1,0,11
44,Algeria,72,1.89,17,8,2,1,0,6
45,Portugal,66,2.61,17,9,5,1,0,14
45,Uzbekistan,34,0.24,7,2,0,1,0,15
46,England,79,1.36,19,3,2,1,0,14
46,Ghana,21,0.17,2,1,1,1,0,24
47,Panama,42,0.55,8,1,1,1,0,19
47,Croatia,58,1.65,6,2,2,1,0,12
48,Colombia,64,0.98,20,9,2,2,0,12
48,DR Congo,36,0.37,7,1,0,1,0,16
49,Bosnia and Herzegovina,54,0.68,14,5,1,1,0,9
49,Qatar,46,0.77,9,3,2,1,0,14
50,Switzerland,55,1.11,6,4,2,1,0,19
50,Canada,45,1.66,13,7,2,2,0,13
51,Morocco,69,3.76,22,11,2,0,0,10
51,Haiti,31,0.67,9,2,1,3,0,18
52,Scotland,46,1.04,14,5,1,1,0,10
52,Brazil,54,4.33,21,9,3,2,0,11
53,Czechia,52,0.53,13,1,0,0,0,9
53,Mexico,48,1.74,11,5,2,1,0,13
54,South Africa,32,1.16,13,4,1,1,0,7
54,South Korea,68,0.9,8,3,1,1,0,9
55,Curaçao,37,0.5,11,2,0,2,0,11
55,Ivory Coast,63,1.31,7,3,1,1,0,6
56,Ecuador,39,1.27,7,3,1,3,0,15
56,Germany,61,0.65,11,3,1,1,0,10
58,Tunisia,29,0.62,10,4,1,0,0,11
58,Netherlands,71,1.85,20,7,1,0,0,10
59,Paraguay,44,0.24,7,2,0,1,0,9
59,Australia,56,0.55,12,5,0,1,0,6
60,Türkiye,47,3.01,9,3,2,0,0,13
60,USA,53,2.13,18,7,3,1,0,13
57,Japan,52,1.21,8,3,1,1,0,20
57,Sweden,48,0.64,11,5,1,2,0,11
61,Norway,43,1.7,10,4,3,1,0,9
61,France,57,1.5,19,9,2,1,0,11
62,Senegal,69,3.01,28,12,3,2,0,10
62,Iraq,31,0.14,6,1,0,2,1,11
63,Cape Verde,51,1.39,15,2,1,1,0,10
63,Saudi Arabia,49,0.39,7,3,1,3,0,16
64,Uruguay,33,0.2,5,1,1,3,1,14
64,Spain,67,0.86,6,1,1,1,0,14
65,Egypt,61,0.84,15,3,0,3,0,11
65,Iran,39,1.97,13,4,4,4,0,16
66,New Zealand,46,0.24,6,2,0,2,0,10
66,Belgium,54,3.64,35,10,2,0,0,7
67,Croatia,53,0.42,8,4,0,1,0,9
67,Ghana,47,0.64,6,1,1,1,0,13
68,Panama,33,0.66,13,2,0,2,0,16
68,England,67,1.56,17,6,2,1,0,13
69,Colombia,55,1.7,24,6,2,1,0,12
69,Portugal,45,0.93,13,2,2,0,0,6
70,DR Congo,58,2.18,19,4,1,3,0,6
70,Uzbekistan,42,0.2,3,1,0,2,0,16
71,Algeria,65,1.67,12,5,1,0,0,3
71,Austria,35,1.49,10,3,1,1,0,7
72,Jordan,27,0.76,5,1,0,3,0,13
72,Argentina,73,2.13,12,4,2,0,0,7
